"Additional Information","معلومات اضافية"
"All Categories","جميع الفئات"
"Back To Top","العودة الى الأعلى"
"Background Image","الصورة الخلفية"
"Box/Wide","مربع / على نطاق واسع"
"Buy Now","اشتري الآن"
"Not Now","ليس الآن"
"QR Code","رمز الاستجابة السريعة"
"Quickshop","متجر سريع"
"Register","تسجيل"
"Reset","إعادة تعيين"
"View cart & checkout","سلة التسوق والخروج"
"You have no items in your shopping cart.","لا يوجد لديك عناصر في سلة التسوق الخاصة بك"
"There is <a href="%s">1 item</a> in your shopping cart.","هناك <a href="%s">1 البند</a> في سلة التسوق الخاصة بك"
"There are <a href="%s">%s items</a> in your shopping cart.","هناك <a href="%s">%s العناصر</a> في سلة التسوق الخاصة بك"
"Top","أعلى"
"My Account","حسابي"
"Log out","تسجيل خروج"
"Login","تسجيل الدخول"
"Main Color","Main Color"
"Main Font","اللون الرئيسي"
"Log In","تسجيل الدخول"
"Sign up","سجل"
"Sign Up","سجل"
"Storeview","Storeview"
"Cart","سجل"
"Don't have an account?","لم يكن لديك حساب"
"Full Slideshow","عرض كامل"
"If you have an account with us, please log in","إذا كان لديك حساب معنا، الرجاء تسجيل الدخول"
"Shop By Category","متجر حسب الفئة"
"Shop Now","تسوق الآن"
"Sign up for your email ...","الاشتراك في البريد الإلكتروني الخاص بك ..."
